ET0010001	NIB Head Office
ET0010002	Main Branch
ET0010003	Sholla Branch
ET0010004	Tana Branch
ET0010005	Abinet Branch
ET0010006	Adarash Branch
ET0010007	Cathedral Branch
ET0010008	Mamo Kacha Branch
ET0010009	Ras Branch
ET0010010	Urael Branch
ET0010011	Ehil Berenda Branch
ET0010012	Teklehaimanot Branch
ET0010013	Nifas Silk Branch
ET0010014	Addis Ketema Branch
ET0010015	Adama Branch
ET0010016	Awassa Branch
ET0010017	Jijiga Branch
ET0010018	Dire Dawa Branch
ET0010019	IBD
ET0010020	Tiret Branch
ET0010021	Gondar Branch
ET0010022	Habte Giorgis Branch
ET0010023	ARTIST MOHHAMUD AHMED
ET0010024	Wolkite Branch
ET0010025	Togochale Branch
ET0010026	Butajira Branch
ET0010027	Werabe Branch
ET0010028	Mekelle Branch
ET0010029	Bole Branch
ET0010031	Balcha Abanefso Branch
ET0010032	Dessie Branch
ET0010033	Yerer Ber Branch
ET0010034	Metema Yohannes Branch
ET0010035	Emdibir Branch
ET0010036	Wollo Sefer Branch
ET0010037	Bahir Dar Branch
ET0010038	Raguel Branch
ET0010039	Kotebe Branch
ET0010040	D Afrique Branch
ET0010041	Aweday Branch
ET0010042	Harar Branch
ET0010043	Bole Medhanialem Branc
ET0010044	Gotera Branch
ET0010045	Tigat Branch
ET0010046	Kality Branch
ET0010047	Humera Branch
ET0010048	Bisrate Gebreal Branch
ET0010049	Mehal Merkato Branch
ET0010050	Jimma Branch
ET0010051	Africa Avenue Branch
ET0010052	Shashemene Branch
ET0010053	Bole Eniredada Branch
ET0010054	Tewodros Adebabay Bran
ET0010055	Gofa Mazoria Branch
ET0010056	Alem Gena Branch
ET0010057	Addisu Gebeya Branch
ET0010058	Lebu Branch
ET0010059	Tatari Branch
ET0010060	Gurdsholla Branch
ET0010061	Hossana Branch
ET0010062	Dilla Branch
ET0010063	Arbaminch Branch
ET0010064	Mahal Arada Adama BR
ET0010065	Bishoftu Branch
ET0010066	Peacock Branch
ET0010067	Sebeta Branch
ET0010068	Dukem Branch
ET0010069	Megenaga Branch
ET0010070	Wolliso Branch
ET0010071	Awassa Warka Branch
ET0010072	Abakoran Branch
ET0010073	W/Sodo Branch
ET0010074	Awebere Branch
ET0010075	SHOA FOREX BUREAU
ET0010076	Alem-Bank Branch
ET0010077	Oda Branch
ET0010078	Yirgachefe Branch
ET0010079	Hadero Branch
ET0010080	Hossaena Menahria Bran
ET0010081	Kolfe Branch
ET0010082	Nekemete Branch
ET0010083	Dilla Edget Branch
ET0010084	Bole Michael Branch
ET0010085	Shire Branch
ET0010086	Torhayloch Branch
ET0010087	Kazanchis Branch
ET0010088	CMC Branch
ET0010089	Merkato Mirab Branch
ET0010090	Lamberet Branch
ET0010091	Debre Birhan Branch
ET0010092	Sefere Selam Branch
